ssid,distid,schlid,disability_code,gndr,ethnic_cd,rit,lat,lon
340,1991,269,80,M,W,210.289,43.207929,-123.32019100000001
341,2083,548,82,M,H,201.704,44.069879,-123.03873100000001
342,2082,515,10,F,H,216.205,44.087485,-123.139356
343,2243,1270,50,M,M,258.45,45.459412,-122.83754200000001
344,2183,933,60,M,H,227.733,45.49313,-122.42069500000001
345,2142,755,50,F,H,213.177,44.983297,-122.971935
346,2142,732,0,M,W,204.619,44.932601,-123.034254
347,2212,1066,82,F,W,258.45,45.320773,-118.10392900000001
348,2190,990,10,M,W,214.667,44.916171,-123.337772
349,1966,204,82,M,W,197.029,43.402547,-124.228548
350,1901,38,10,F,H,200.196,44.586343,-123.263981
351,2082,534,82,M,H,210.289,44.071188,-123.09996100000001
352,2142,760,82,M,W,219.488,44.885941,-123.07366
353,1901,35,10,F,H,201.704,44.585930000000005,-123.280433
354,2180,854,10,M,M,195.345,45.491167000000004,-122.633255
355,2102,663,10,M,W,211.721,44.398448,-122.706827
356,2096,609,10,M,W,200.196,43.986129,-124.10453500000001
357,2142,3376,82,F,W,197.029,44.994976,-122.95619300000001
358,2142,736,10,F,H,200.196,44.945641,-123.011249
